静态文件服务器运行在 http://localhost:8002
静态文件目录: /home/bygpu/Documents/chat-stt-frontend/static

推荐文件结构:
├── server.js（当前文件）
└── static/（静态资源目录）
    ├── index.html（首页）
    ├── css/style.css（样式文件）
    └── js/script.js（脚本文件）
[2025-08-30T15:57:30.284Z] GET /chat_frontend.html
[2025-08-30T15:58:13.305Z] GET /chat_frontend.html
[2025-08-30T15:58:13.722Z] GET /script.js
[2025-08-30T15:58:13.789Z] GET /tts_service.js
[2025-08-30T15:58:14.158Z] GET /config/total_config.yml
[2025-08-30T15:58:24.904Z] GET /favicon.ico
[2025-08-30T15:59:42.086Z] GET /chat_frontend.html
[2025-08-30T15:59:49.650Z] GET /favicon.ico
[2025-08-30T17:30:52.634Z] GET /
[2025-08-30T17:36:36.216Z] GET /
[2025-08-31T12:27:28.825Z] GET /chat_frontend.html
[2025-08-31T12:27:29.307Z] GET /tts_service.js
[2025-08-31T12:28:20.066Z] GET /chat_frontend_v0.html
[2025-08-31T12:28:20.519Z] GET /script_v0.js
[2025-08-31T12:28:20.522Z] GET /style_v0.css
[2025-08-31T12:28:21.803Z] GET /config/total_config.yml
[2025-08-31T12:28:35.354Z] GET /sidebar.css.map
[2025-08-31T12:28:35.790Z] GET /content.css.map
[2025-08-31T12:28:35.791Z] GET /chat_frontend.html
[2025-08-31T12:28:36.285Z] GET /script.js
[2025-08-31T12:28:54.303Z] GET /favicon.ico
[2025-08-31T12:30:46.961Z] GET /sidebar.css.map
[2025-08-31T12:30:47.081Z] GET /content.css.map
[2025-08-31T12:31:28.795Z] GET /chat_frontend.html
[2025-08-31T12:31:58.430Z] GET /content.css.map
[2025-08-31T12:31:58.543Z] GET /sidebar.css.map
[2025-08-31T12:32:06.343Z] GET /chat_frontend.html
[2025-08-31T12:32:09.721Z] GET /sidebar.css.map
[2025-08-31T12:32:09.829Z] GET /content.css.map
[2025-08-31T12:32:19.294Z] GET /favicon.ico
[2025-08-31T12:40:12.874Z] GET /chat_frontend.html
[2025-08-31T12:40:27.571Z] GET /sidebar.css.map
[2025-08-31T12:40:27.576Z] GET /content.css.map
[2025-08-31T12:45:05.365Z] GET /favicon.ico
[2025-08-31T12:47:34.854Z] GET /chat_frontend.html
[2025-08-31T12:47:40.020Z] GET /content.css.map
[2025-08-31T12:47:40.206Z] GET /sidebar.css.map
[2025-08-31T12:48:03.102Z] GET /chat_frontend.html
[2025-08-31T12:48:05.365Z] GET /content.css.map
[2025-08-31T12:48:05.452Z] GET /sidebar.css.map
[2025-08-31T12:48:09.349Z] GET /chat_frontend.html
[2025-08-31T12:48:12.770Z] GET /sidebar.css.map
[2025-08-31T12:48:12.771Z] GET /content.css.map
[2025-08-31T12:48:31.391Z] GET /chat_frontend.html
[2025-08-31T12:48:35.062Z] GET /content.css.map
[2025-08-31T12:48:35.336Z] GET /sidebar.css.map
[2025-08-31T12:48:49.241Z] HEAD /chat_frontend.html
[2025-08-31T12:48:51.694Z] GET /chat_frontend.html
[2025-08-31T12:48:51.806Z] GET /script.js
[2025-08-31T12:48:51.888Z] GET /tts_service.js
[2025-08-31T12:48:52.014Z] GET /config/total_config.yml
[2025-08-31T12:48:53.320Z] GET /favicon.ico
[2025-08-31T12:49:19.647Z] GET /chat_frontend.html
[2025-08-31T12:49:19.901Z] GET /script.js
[2025-08-31T12:49:19.976Z] GET /tts_service.js
[2025-08-31T12:49:20.132Z] GET /config/total_config.yml
[2025-08-31T12:49:20.392Z] GET /favicon.ico
[2025-08-31T12:50:14.713Z] GET /chat_frontend.html
[2025-08-31T12:51:14.372Z] GET /chat_frontend.html
[2025-08-31T12:51:14.482Z] GET /config/total_config.yml
[2025-08-31T12:51:32.984Z] GET /
[2025-08-31T12:51:57.009Z] GET /chat_frontend.html
[2025-08-31T12:52:02.182Z] GET /content.css.map
[2025-08-31T12:52:02.502Z] GET /sidebar.css.map
[2025-08-31T12:52:03.751Z] GET /chat_frontend.html
[2025-08-31T12:52:04.251Z] GET /script.js
[2025-08-31T12:52:04.253Z] GET /tts_service.js
[2025-08-31T12:52:05.480Z] GET /config/total_config.yml
[2025-08-31T12:52:07.559Z] GET /sidebar.css.map
[2025-08-31T12:52:07.565Z] GET /content.css.map
[2025-08-31T12:52:30.931Z] GET /chat_frontend.html
[2025-08-31T12:52:35.185Z] GET /content.css.map
[2025-08-31T12:52:35.222Z] GET /sidebar.css.map
[2025-08-31T12:54:13.206Z] GET /chat_frontend.html
[2025-08-31T12:54:18.347Z] GET /sidebar.css.map
[2025-08-31T12:54:18.655Z] GET /content.css.map
[2025-08-31T12:54:24.499Z] GET /chat_frontend.html
[2025-08-31T12:54:24.614Z] GET /config/total_config.yml
[2025-08-31T12:55:11.759Z] GET /favicon.ico
